;PC Software:StarLab Version 3.72 Build 3
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the StarLab Log reader from opening the file correctly. ********
;Logged:20/01/2023 at 13:07:46
;File Version:5
;Time Resolution:1 microseconds
;Graph Mode:Merge
;Graph Type:Line
;Notes:                                                            

;Channel A:Vega Pyroelectric PE9-ES-C (s/n:835971)  VG2.54 (s/n:547613)
;Channel B:Vega Pyroelectric PE9 (s/n:574745)  VG2.54 (s/n:833869)

;Channel A:Details
;Name:PE9-ES-C
;Graph Color:RGB(14,104,168)
;Units:J
;Settings:Measuring:Energy
;Settings:Wavelength:196
;Settings:Range:2.00uJ
;Settings:Diffuser:N/A
;Settings:Pulse Width:1.0us
;Settings:Threshold:Min

;Channel B:Details
;Name:PE9
;Graph Color:RGB(245,86,16)
;Units:J
;Settings:Measuring:Energy
;Settings:Wavelength:196
;Settings:Range:20.0uJ
;Settings:Diffuser:N/A
;Settings:Pulse Width:30uS
;Settings:Threshold:N/A

;Channel A:Statistics
;Min:125.0nJ             
;Max:812.0nJ             
;Average:447.0nJ             
;Std.Dev.:120.5nJ             
;Overrange:0                   
;Total Pulses:12490               

;Channel B:Statistics
;Min:890.0nJ             
;Max:4.150uJ             
;Average:2.480uJ             
;Std.Dev.:524.7nJ             
;Overrange:0                   
;Total Pulses:12550               
;--------------------


;First Pulse Arrived : 20/01/2023 at 13:08:04
  Timestamp   	  Channel A  	  Channel B  	
         7.740	  3.920e-07 	  2.060e-06 	
         7.758	  4.560e-07 	  2.420e-06 	
         7.780	  4.940e-07 	  2.650e-06 	
         7.800	  3.680e-07 	  2.240e-06 	
         9.060	             	  2.060e-06 	
         9.063	  3.530e-07 	             	
         9.080	  4.380e-07 	  2.310e-06 	
         9.099	  3.570e-07 	  2.080e-06 	
         9.118	  4.160e-07 	  2.250e-06 	
         9.140	  3.830e-07 	  2.160e-06 	
         9.158	  3.980e-07 	  2.230e-06 	
         9.180	  4.450e-07 	  2.380e-06 	
         9.199	             	  2.320e-06 	
         9.200	  4.080e-07 	             	
         9.218	  3.870e-07 	  2.230e-06 	
         9.240	  5.870e-07 	  2.980e-06 	
         9.259	  5.240e-07 	  2.940e-06 	
         9.281	  6.030e-07 	  3.220e-06 	
         9.299	  2.600e-07 	  1.950e-06 	
         9.318	  4.700e-07 	  2.400e-06 	
         9.340	  2.530e-07 	  1.690e-06 	
         9.359	  5.140e-07 	  2.560e-06 	
         9.380	  2.810e-07 	  1.860e-06 	
         9.399	             	  3.280e-06 	
         9.400	  6.810e-07 	             	
         9.418	  5.570e-07 	  3.210e-06 	
         9.440	  5.580e-07 	  3.190e-06 	
         9.458	  4.230e-07 	  2.630e-06 	
         9.480	  5.730e-07 	  3.080e-06 	
         9.498	  5.640e-07 	  3.140e-06 	
         9.518	  5.480e-07 	  3.100e-06 	
         9.540	  5.370e-07 	  3.050e-06 	
         9.558	  4.810e-07 	  2.800e-06 	
         9.580	  5.370e-07 	  2.930e-06 	
         9.599	             	  2.220e-06 	
         9.602	  3.480e-07 	             	
         9.618	  3.300e-07 	  1.960e-06 	
         9.640	  5.960e-07 	  2.970e-06 	
         9.658	  5.940e-07 	  3.240e-06 	
         9.680	  3.040e-07 	  2.160e-06 	
         9.699	  3.800e-07 	  2.140e-06 	
         9.718	  6.020e-07 	  3.010e-06 	
         9.740	  4.620e-07 	  2.730e-06 	
         9.759	  5.010e-07 	  2.770e-06 	
         9.780	  1.850e-07 	  1.520e-06 	
         9.799	             	  2.400e-06 	
         9.800	  4.870e-07 	             	
         9.818	  5.650e-07 	  2.960e-06 	
         9.841	  5.050e-07 	  2.910e-06 	
         9.859	  5.730e-07 	  3.140e-06 	
         9.880	  4.080e-07 	  2.520e-06 	
         9.899	  3.550e-07 	  2.140e-06 	
         9.919	  5.870e-07 	  2.970e-06 	
         9.940	  4.530e-07 	  2.660e-06 	
         9.958	  6.370e-07 	  3.290e-06 	
         9.980	  4.180e-07 	  2.580e-06 	
         9.999	             	  2.040e-06 	
        10.000	  3.370e-07 	             	
        10.018	  5.660e-07 	  2.880e-06 	
        10.040	  3.850e-07 	  2.390e-06 	
        11.299	             	  1.880e-06 	
        11.300	  3.020e-07 	             	
        11.318	             	  1.550e-06 	
        11.320	  2.570e-07 	             	
        11.341	  3.700e-07 	  1.910e-06 	
        11.359	  5.300e-07 	  2.710e-06 	
        11.380	  3.180e-07 	  2.030e-06 	
        11.399	             	  2.610e-06 	
        11.400	  5.050e-07 	             	
        11.418	             	  2.380e-06 	
        11.420	  4.180e-07 	             	
        11.440	  4.390e-07 	  2.460e-06 	
        11.459	  5.030e-07 	  2.760e-06 	
        11.481	  5.650e-07 	  3.070e-06 	
        11.499	  5.780e-07 	  3.230e-06 	
        11.518	             	  2.780e-06 	
        11.520	  4.670e-07 	             	
        11.540	  2.420e-07 	  1.780e-06 	
        11.558	  6.170e-07 	  2.950e-06 	
        11.578	  4.540e-07 	  2.670e-06 	
        11.599	             	  2.720e-06 	
        11.600	  5.030e-07 	             	
        11.617	             	  2.950e-06 	
        11.620	  5.380e-07 	             	
        11.640	  2.630e-07 	  1.880e-06 	
        11.658	  4.200e-07 	  2.200e-06 	
        11.680	  4.670e-07 	  2.500e-06 	
        11.699	  3.760e-07 	  2.240e-06 	
        11.718	  3.910e-07 	  2.240e-06 	
        11.740	  2.960e-07 	  1.820e-06 	
        11.758	  1.800e-07 	  1.220e-06 	
        11.780	  3.120e-07 	  1.620e-06 	
        11.799	             	  2.140e-06 	
        11.800	  4.180e-07 	             	
        11.818	             	  2.940e-06 	
        11.820	  5.690e-07 	             	
        11.841	  4.090e-07 	  2.420e-06 	
        11.859	  3.300e-07 	  2.010e-06 	
        11.880	             	  2.090e-06 	
        11.883	  3.760e-07 	             	
        11.899	  4.660e-07 	  2.510e-06 	
        11.918	  3.570e-07 	  2.170e-06 	
        11.941	  5.440e-07 	  2.850e-06 	
        11.959	  2.680e-07 	  1.910e-06 	
        11.981	  3.020e-07 	  1.750e-06 	
        11.999	             	  2.220e-06 	
        12.000	  4.360e-07 	             	
        12.018	             	  2.250e-06 	
        12.019	  4.090e-07 	             	
        12.040	  4.590e-07 	  2.500e-06 	
        12.058	  2.980e-07 	  1.920e-06 	
        12.080	  3.870e-07 	  2.120e-06 	
        12.099	  3.120e-07 	  1.840e-06 	
        12.119	             	  2.320e-06 	
        12.120	  4.530e-07 	             	
        12.140	  1.830e-07 	  1.390e-06 	
        12.159	  4.460e-07 	  2.200e-06 	
        12.180	  5.520e-07 	  2.890e-06 	
        12.198	             	  3.150e-06 	
        12.200	  5.750e-07 	             	
        12.218	             	  2.800e-06 	
        12.220	  4.720e-07 	             	
        12.240	  4.080e-07 	  2.450e-06 	
        12.259	  4.630e-07 	  2.610e-06 	
        12.280	  5.480e-07 	  2.950e-06 	
        13.540	             	  2.750e-06 	
        13.543	  4.750e-07 	             	
        13.559	  5.460e-07 	  2.980e-06 	
        13.580	  4.540e-07 	  2.640e-06 	
        13.598	  4.970e-07 	  2.790e-06 	
        13.618	  4.460e-07 	  2.580e-06 	
        13.639	  3.370e-07 	             	
        13.640	             	  2.100e-06 	
        13.658	  3.470e-07 	  2.000e-06 	
        13.681	  4.820e-07 	  2.490e-06 	
        13.699	  5.800e-07 	  3.030e-06 	
        13.718	  4.700e-07 	  2.740e-06 	
        13.738	  3.850e-07 	             	
        13.740	             	  2.330e-06 	
        13.758	  3.450e-07 	  2.020e-06 	
        13.780	  4.260e-07 	  2.300e-06 	
        13.799	  4.040e-07 	  2.310e-06 	
        13.818	  4.680e-07 	  2.540e-06 	
        13.840	  3.700e-07 	  2.210e-06 	
        13.859	  4.390e-07 	  2.420e-06 	
        13.880	  5.230e-07 	  2.780e-06 	
        13.899	  3.340e-07 	  2.190e-06 	
        13.918	  5.640e-07 	  2.930e-06 	
        13.939	  3.530e-07 	             	
        13.940	             	  2.250e-06 	
        13.959	  4.790e-07 	  2.550e-06 	
        13.980	  4.540e-07 	  2.550e-06 	
        13.999	  5.000e-07 	  2.760e-06 	
        14.018	  2.970e-07 	  1.990e-06 	
        14.039	  6.340e-07 	             	
        14.040	             	  3.150e-06 	
        14.059	  3.660e-07 	             	
        14.060	             	  2.370e-06 	
        14.080	  2.630e-07 	  1.730e-06 	
        14.098	  3.370e-07 	  1.810e-06 	
        14.118	  3.560e-07 	  1.940e-06 	
        14.140	             	  2.460e-06 	
        14.143	  4.700e-07 	             	
        14.159	  5.250e-07 	  2.820e-06 	
        14.180	  2.560e-07 	  1.860e-06 	
        14.199	  5.580e-07 	  2.760e-06 	
        14.218	  4.580e-07 	  2.610e-06 	
        14.239	  3.490e-07 	             	
        14.240	             	  2.170e-06 	
        14.258	  4.160e-07 	  2.280e-06 	
        14.280	  3.770e-07 	  2.200e-06 	
        14.299	  5.690e-07 	  2.880e-06 	
        14.318	  5.140e-07 	  2.870e-06 	
        14.340	  3.260e-07 	  2.100e-06 	
        14.359	  3.090e-07 	  1.830e-06 	
        14.380	  4.530e-07 	  2.320e-06 	
        14.399	  5.670e-07 	  2.910e-06 	
        14.418	  3.260e-07 	  2.160e-06 	
        14.440	  2.510e-07 	  1.620e-06 	
        14.458	  4.750e-07 	  2.400e-06 	
        14.480	  3.640e-07 	  2.160e-06 	
        14.498	  5.100e-07 	  2.680e-06 	
